distrito;subprefeitura;populacao;area;extrema_pobreza;emprego_por_habitante_distrito;emprego_por_habitante_subprefeitura;domicilios_distrito;domicilios_em_favelas_distrito;domicilios_subprefeitura;domicilios_em_favelas_subprefeitura;idh;densidade_populacional_distrito;densidade_populacional_subprefeitura;quadro_analitico;perimetro_de_acao
Itaim Paulista;Itaim Paulista;233767;12;19709;0,0892;0,0876;72129;6,7;120135;6,71;0,725;0,019;0,018;https://gestaourbana.prefeitura.sp.gov.br/wp-content/uploads/2018/02/QA-IT.pdf;https://gestaourbana.prefeitura.sp.gov.br/wp-content/uploads/2018/02/PA-IT.pdf
Vila Curuçá;Itaim Paulista;152967;9,7;10441;0,0853;0,0876;48006;6,8;120135;6,71;0,725;0,016;0,018;https://gestaourbana.prefeitura.sp.gov.br/wp-content/uploads/2018/02/QA-IT.pdf;https://gestaourbana.prefeitura.sp.gov.br/wp-content/uploads/2018/02/PA-IT.pdf
Cidade Líder;Itaquera;134425;10,2;7448;0,1682;0,1713;42288;7;174567;6,64;0,758;0,013;0,01;https://gestaourbana.prefeitura.sp.gov.br/wp-content/uploads/2018/02/QA-IQ.pdf;https://gestaourbana.prefeitura.sp.gov.br/wp-content/uploads/2018/02/PA-IQ.pdf
Itaquera;Itaquera;210858;14,6;12384;0,1684;0,1713;65614;6,3;174567;6,64;0,758;0,014;0,01;https://gestaourbana.prefeitura.sp.gov.br/wp-content/uploads/2018/02/QA-IQ.pdf;https://gestaourbana.prefeitura.sp.gov.br/wp-content/uploads/2018/02/PA-IQ.pdf
José Bonifácio;Itaquera;135461;14,1;5325;0,0652;0,1713;44057;1,3;174567;6,64;0,758;0,01;0,01;https://gestaourbana.prefeitura.sp.gov.br/wp-content/uploads/2018/02/QA-IQ.pdf;https://gestaourbana.prefeitura.sp.gov.br/wp-content/uploads/2018/02/PA-IQ.pdf
Parque do Carmo;Itaquera;71418;15,4;13577;0,3876;0,1713;22608;17,3;174567;6,64;0,758;0,005;0,01;https://gestaourbana.prefeitura.sp.gov.br/wp-content/uploads/2018/02/QA-IQ.pdf;https://gestaourbana.prefeitura.sp.gov.br/wp-content/uploads/2018/02/PA-IQ.pdf
Jabaquara;Jabaquara;228815;14,1;10104;0,4529;0,4529;78776;17;78776;17,03;0,816;0,016;0,016;https://gestaourbana.prefeitura.sp.gov.br/wp-content/uploads/2018/02/QA-JA.pdf;https://gestaourbana.prefeitura.sp.gov.br/wp-content/uploads/2018/02/PA-JA.pdf
Jaçanã;Jaçanã/Tremembé;24042;7,8;5556;0,1783;0,1602;8067;26,2;74693;13,09;0,816;0,003;0,004;https://gestaourbana.prefeitura.sp.gov.br/wp-content/uploads/2018/02/QA-JT.pdf;https://gestaourbana.prefeitura.sp.gov.br/wp-content/uploads/2018/02/PA-JT.pdf
Tremembé;Jaçanã/Tremembé;221051;56,3;11187;0,098;0,1602;66626;11,5;74693;13,09;0,768;0,004;0,004;https://gestaourbana.prefeitura.sp.gov.br/wp-content/uploads/2018/02/QA-JT.pdf;https://gestaourbana.prefeitura.sp.gov.br/wp-content/uploads/2018/02/PA-JT.pdf
Barra Funda;Lapa;15927;5,6;160;6,2823;0,7771;6221;1,1;177145;1,52;0,768;0,003;0,013;https://gestaourbana.prefeitura.sp.gov.br/wp-content/uploads/2018/02/QA-LA.pdf;https://gestaourbana.prefeitura.sp.gov.br/wp-content/uploads/2018/02/PA-LA.pdf
Jaguara;Lapa;54697;4,6;482;1,0322;0,7771;18931;1,1;177145;1,52;0,906;0,012;0,013;https://gestaourbana.prefeitura.sp.gov.br/wp-content/uploads/2018/02/QA-LA.pdf;https://gestaourbana.prefeitura.sp.gov.br/wp-content/uploads/2018/02/PA-LA.pdf
Jaguaré;Lapa;210217;6,6;1893;0,7055;0,7771;63611;2,4;177145;1,52;0,906;0,032;0,013;https://gestaourbana.prefeitura.sp.gov.br/wp-content/uploads/2018/02/QA-LA.pdf;https://gestaourbana.prefeitura.sp.gov.br/wp-content/uploads/2018/02/PA-LA.pdf
Lapa;Lapa;67118;10;1753;1,7279;0,7771;25242;0,5;177145;1,52;0,906;0,007;0,013;https://gestaourbana.prefeitura.sp.gov.br/wp-content/uploads/2018/02/QA-LA.pdf;https://gestaourbana.prefeitura.sp.gov.br/wp-content/uploads/2018/02/PA-LA.pdf
Perdizes;Lapa;114552;6,1;7762;0,4067;0,7771;47230;0;177145;1,52;0,906;0,019;0,013;https://gestaourbana.prefeitura.sp.gov.br/wp-content/uploads/2018/02/QA-LA.pdf;https://gestaourbana.prefeitura.sp.gov.br/wp-content/uploads/2018/02/PA-LA.pdf
Vila Leopoldina;Lapa;44643;7,2;589;1,3436;0,7771;15910;4,7;177145;1,52;0,906;0,006;0,013;https://gestaourbana.prefeitura.sp.gov.br/wp-content/uploads/2018/02/QA-LA.pdf;https://gestaourbana.prefeitura.sp.gov.br/wp-content/uploads/2018/02/PA-LA.pdf
Jardim Ângela;M'Boi Mirim;135358;37,4;26857;0,107;0,3786;40789;55;70527;60,05;0,716;0,004;0,004;https://gestaourbana.prefeitura.sp.gov.br/wp-content/uploads/2018/02/QA-MB.pdf;https://gestaourbana.prefeitura.sp.gov.br/wp-content/uploads/2018/02/PA-MB.pdf
Jardim São Luís;M'Boi Mirim;95934;24,7;20771;0,1877;0,3786;29738;66,9;70527;60,05;0,716;0,004;0,004;https://gestaourbana.prefeitura.sp.gov.br/wp-content/uploads/2018/02/QA-MB.pdf;https://gestaourbana.prefeitura.sp.gov.br/wp-content/uploads/2018/02/PA-MB.pdf
Água Rasa;Mooca;82846;6,9;1702;0,4295;0,9128;28968;0,1;125828;0,93;0,869;0,012;0,01;https://gestaourbana.prefeitura.sp.gov.br/wp-content/uploads/2018/02/QA-MO.pdf;https://gestaourbana.prefeitura.sp.gov.br/wp-content/uploads/2018/02/PA-MO.pdf
Belém;Mooca;48850;6;7903;1,0676;0,9128;15454;3,9;125828;0,93;0,869;0,008;0,01;https://gestaourbana.prefeitura.sp.gov.br/wp-content/uploads/2018/02/QA-MO.pdf;https://gestaourbana.prefeitura.sp.gov.br/wp-content/uploads/2018/02/PA-MO.pdf
Brás;Mooca;32711;3,5;1871;1,6876;0,9128;11538;0;125828;0,93;0,869;0,009;0,01;https://gestaourbana.prefeitura.sp.gov.br/wp-content/uploads/2018/02/QA-MO.pdf;https://gestaourbana.prefeitura.sp.gov.br/wp-content/uploads/2018/02/PA-MO.pdf
Mooca;Mooca;79997;7,7;2853;0,8855;0,9128;28486;0,2;125828;0,93;0,869;0,01;0,01;https://gestaourbana.prefeitura.sp.gov.br/wp-content/uploads/2018/02/QA-MO.pdf;https://gestaourbana.prefeitura.sp.gov.br/wp-content/uploads/2018/02/PA-MO.pdf
Pari;Mooca;18910;2,9;1495;2,126;0,9128;6085;2,1;125828;0,93;0,869;0,007;0,01;https://gestaourbana.prefeitura.sp.gov.br/wp-content/uploads/2018/02/QA-MO.pdf;https://gestaourbana.prefeitura.sp.gov.br/wp-content/uploads/2018/02/PA-MO.pdf
Tatuapé;Mooca;95705;8,2;2336;0,8176;0,9128;35297;1;125828;0,93;0,869;0,012;0,01;https://gestaourbana.prefeitura.sp.gov.br/wp-content/uploads/2018/02/QA-MO.pdf;https://gestaourbana.prefeitura.sp.gov.br/wp-content/uploads/2018/02/PA-MO.pdf
Marsilac;Parelheiros;8398;200;1695;0,0779;0,1191;2590;2,8;47589;8,62;0,68;4E-05;0,0005;https://gestaourbana.prefeitura.sp.gov.br/wp-content/uploads/2018/02/QA-PA.pdf;https://gestaourbana.prefeitura.sp.gov.br/wp-content/uploads/2018/02/PA-PA.pdf
Parelheiros;Parelheiros;151339;153,5;12522;0,1216;0,1191;44999;8,9;47589;8,62;0,68;0,001;0,0005;https://gestaourbana.prefeitura.sp.gov.br/wp-content/uploads/2018/02/QA-PA.pdf;https://gestaourbana.prefeitura.sp.gov.br/wp-content/uploads/2018/02/PA-PA.pdf
Artur Alvim;Penha;100887;6,6;4224;0,0759;0,1969;34509;7,4;157867;6,61;0,804;0,015;0,011;https://gestaourbana.prefeitura.sp.gov.br/wp-content/uploads/2018/02/QA-PE.pdf;https://gestaourbana.prefeitura.sp.gov.br/wp-content/uploads/2018/02/PA-PE.pdf
Cangaíba;Penha;137923;16;6050;0,089;0,1969;44004;11,1;157867;6,61;0,804;0,009;0,011;https://gestaourbana.prefeitura.sp.gov.br/wp-content/uploads/2018/02/QA-PE.pdf;https://gestaourbana.prefeitura.sp.gov.br/wp-content/uploads/2018/02/PA-PE.pdf
Penha;Penha;129042;11,3;295;0,3412;0,1969;44001;6,2;157867;6,61;0,804;0,011;0,011;https://gestaourbana.prefeitura.sp.gov.br/wp-content/uploads/2018/02/QA-PE.pdf;https://gestaourbana.prefeitura.sp.gov.br/wp-content/uploads/2018/02/PA-PE.pdf
Vila Matilde;Penha;105550;8,9;2344;0,2743;0,1969;35353;0,6;157867;6,61;0,804;0,012;0,011;https://gestaourbana.prefeitura.sp.gov.br/wp-content/uploads/2018/02/QA-PE.pdf;https://gestaourbana.prefeitura.sp.gov.br/wp-content/uploads/2018/02/PA-PE.pdf
Anhanguera;Perus;82976;33,3;6182;0,1447;0,1055;25959;4,3;52303;7,82;0,731;0,002;0,003;https://gestaourbana.prefeitura.sp.gov.br/wp-content/uploads/2016/03/QA-PR.pdf;https://gestaourbana.prefeitura.sp.gov.br/wp-content/uploads/2016/03/PA-PR.pdf
Perus;Perus;88387;23,9;986;0,0692;0,1055;26344;11,3;52303;7,82;0,731;0,004;0,003;https://gestaourbana.prefeitura.sp.gov.br/wp-content/uploads/2016/03/QA-PR.pdf;https://gestaourbana.prefeitura.sp.gov.br/wp-content/uploads/2016/03/PA-PR.pdf
Alto de Pinheiros;Pinheiros;41191;7,7;102;0,6751;1,4868;15572;0;181947;0,19;0,942;0,005;0,016;https://gestaourbana.prefeitura.sp.gov.br/wp-content/uploads/2018/02/QA-PI.pdf;https://gestaourbana.prefeitura.sp.gov.br/wp-content/uploads/2018/02/PA-PI.pdf
Itaim Bibi;Pinheiros;96896;9,9;469;3,7924;1,4868;42291;0,8;181947;0,19;0,942;0,01;0,016;https://gestaourbana.prefeitura.sp.gov.br/wp-content/uploads/2018/02/QA-PI.pdf;https://gestaourbana.prefeitura.sp.gov.br/wp-content/uploads/2018/02/QA-PI.pdf
Jardim Paulista;Pinheiros;291198;6,1;124;1,5779;1,4868;95524;0;181947;0,19;0,942;0,048;0,016;https://gestaourbana.prefeitura.sp.gov.br/wp-content/uploads/2018/02/QA-PI.pdf;https://gestaourbana.prefeitura.sp.gov.br/wp-content/uploads/2018/02/QA-PI.pdf
Pinheiros;Pinheiros;65895;8;5659;2,5464;1,4868;28560;0,1;181947;0,19;0,942;0,008;0,016;https://gestaourbana.prefeitura.sp.gov.br/wp-content/uploads/2018/02/QA-PI.pdf;https://gestaourbana.prefeitura.sp.gov.br/wp-content/uploads/2018/02/QA-PI.pdf
Jaraguá;Pirituba/Jaraguá;334057;27,6;14322;0,1129;0,1353;105194;9;190996;8,92;0,787;0,012;0,011;https://gestaourbana.prefeitura.sp.gov.br/wp-content/uploads/2018/02/QA-PJ.pdf;https://gestaourbana.prefeitura.sp.gov.br/wp-content/uploads/2018/02/PA-PJ.pdf
Pirituba;Pirituba/Jaraguá;170940;17,1;3625;0,1396;0,1353;57168;7;190996;8,92;0,787;0,01;0,011;https://gestaourbana.prefeitura.sp.gov.br/wp-content/uploads/2018/02/QA-PJ.pdf;https://gestaourbana.prefeitura.sp.gov.br/wp-content/uploads/2018/02/PA-PJ.pdf
